cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m1_rhat
2019-09-30,24,2,0,4113.890913818524,14839.192544837224,661.3178082101666,131455.98532905712,1.0024553903155737
2019-09-30,24,6,0,30326.337364691317,109101.63494972477,4262.490951770241,1005912.5974889625,1.0024553903155737
2019-09-30,25,1,0,615.4029504827608,2307.368209154691,128.89559249395316,17538.960108599436,1.0024553903155737
2019-09-30,26,1,0,1170.372194790983,4327.127753198926,204.47392876419832,36392.19560977416,1.0024553903155737
2019-09-30,26,2,0,20503.25001231879,74985.89122965548,3148.594816325088,649975.1025723247,1.0024553903155737
2019-09-30,26,6,0,38157.23815966237,136043.73435960626,5710.896664972762,1228252.659789967,1.0024553903155737
2019-09-30,27,1,0,244.3829300837986,944.005538836785,60.180458314974395,7293.729040856534,1.0024553903155737
2019-09-30,27,2,0,153.26202660653195,569.3241403574481,42.08075006582674,3644.0052556035857,1.0024553903155737
2019-09-30,27,6,0,1039.6662648966505,3874.983420566752,178.72591412455128,31439.45250520548,1.0024553903155737
2019-09-30,28,1,0,33924.936853936175,123556.80833082071,4901.809832097408,1097164.2788879853,1.0024553903155737
2019-09-30,29,1,0,408.73196278543605,1561.5289990988786,83.70459710882064,12672.923619855437,1.0024553903155737
2019-09-30,29,2,0,908.0581365962786,3334.9467343520773,164.4199771541727,28547.171668636896,1.0024553903155737
2019-09-30,29,6,0,3546.112330434041,12781.055473639328,560.6752877181981,104793.80342978286,1.0024553903155737
2019-10-31,1,1,0,290.14687581135627,997.1861249549365,72.65445025045089,7837.483524848833,1.002297174118986
2019-10-31,1,2,0,570.3157212284673,1968.4111263768052,123.78066673934262,16816.93434489081,1.002297174118986
2019-10-31,1,6,0,2217.97983454311,7381.008394167818,380.7557704716398,73100.21500751484,1.002297174118986
2019-10-31,2,1,0,172.43635805607147,579.44541786481,50.88329679542215,3936.773928378261,1.002297174118986
2019-10-31,2,2,0,240.2205054199166,834.3616798405657,67.67732611741854,6799.594333729701,1.002297174118986
2019-10-31,2,6,0,959.6173615016243,3276.3392293608713,185.30203590756966,29198.502811224822,1.002297174118986
2019-10-31,3,1,0,417.086065444308,1448.4295389320944,97.53360432038095,12863.210781662447,1.002297174118986
2019-10-31,3,2,0,1227.824650235096,4217.192413408239,224.12097819114356,36942.83188556863,1.002297174118986
2019-10-31,3,6,0,1836.9700608655833,6180.991411141087,325.56603770343736,57724.34547929912,1.002297174118986
2019-10-31,4,1,1,250.36538695081714,476.25644577998224,42.83216747980559,3364.3172783267532,1.002297174118986
2019-10-31,4,2,0,1057.4786571794336,3533.6224340915146,203.03703093184126,33473.04036264103,1.002297174118986
2019-10-31,4,6,0,4325.440760966325,14253.955565412338,682.5835625830645,146014.24041675645,1.002297174118986
2019-10-31,5,1,0,419.3944306429245,1437.1704990252906,98.03870111973698,12219.170194626071,1.002297174118986
2019-10-31,5,2,0,229.3233769571757,787.3571032383867,55.760456770562385,6240.183451590412,1.002297174118986
2019-10-31,5,6,0,632.3082973348065,2224.2038867731744,128.08139736212672,19975.391477146473,1.002297174118986
2019-10-31,6,1,0,530.3033118952795,1845.7532673097642,117.36186341204342,15917.827926487698,1.002297174118986
2019-10-31,7,1,0,932.0841091968264,3215.9209188456334,185.32170067906736,30888.09394024587,1.002297174118986
2019-10-31,7,2,0,353.08588028838466,1223.7369993880366,83.51908001773174,9809.12576084269,1.002297174118986
2019-10-31,7,6,0,2642.540212851936,8870.248238655828,454.65401219068065,84034.70328038518,1.002297174118986
2019-10-31,8,1,0,473.070076918734,1634.587962035285,108.17532008237738,14417.392590718433,1.002297174118986
2019-10-31,8,2,0,249.16616079988114,851.3466828399021,64.70218768823597,6692.663089799499,1.002297174118986
2019-10-31,8,6,0,1878.044626060655,6287.805897844182,330.45130284028494,58865.36503012483,1.002297174118986
2019-10-31,9,1,2,298.4081881381609,254.8713224874167,30.211486014687473,1426.3928881816369,1.002297174118986
2019-10-31,9,2,0,861.3220698459401,2988.871156526881,167.17059197582554,27578.946807052816,1.002297174118986
2019-10-31,9,6,0,4907.660175793806,16039.627155917451,822.3311603831122,147717.11338343562,1.002297174118986
2019-10-31,10,1,0,20300.19523367999,67319.56929846037,3274.477689698591,638171.9807111738,1.002297174118986
2019-10-31,10,2,1,9507.997616839995,12181.436785123344,626.5098934773314,107435.23795649024,1.002297174118986
2019-10-31,10,6,0,256093.89523368,848055.0369422582,38748.77917201582,8444104.208168013,1.002297174118986
2019-10-31,11,1,0,791.4074621590887,2677.4139418281256,162.0634627262523,24348.738093248274,1.002297174118986
2019-10-31,11,2,0,965.6040908701066,3292.4999413828355,189.76210335266882,28815.4647532842,1.002297174118986
2019-10-31,11,6,0,5708.903770650969,18690.00907749025,953.5502183548443,171661.46248840512,1.002297174118986
2019-10-31,12,1,2,263.2445941328294,234.97156069529916,27.974248938245417,1349.624602278416,1.002297174118986
2019-10-31,12,2,0,313.32193158015724,1057.1916201766392,77.72041895699405,8284.919195944552,1.002297174118986
2019-10-31,12,6,0,1455.3195420072182,4833.499375336561,275.0749557633374,42314.25605192995,1.002297174118986
2019-10-31,13,1,0,4574.0953187269415,15188.390343657149,745.0165128315022,149616.2162065128,1.002297174118986
2019-10-31,13,2,0,2315.7206008203148,7743.487180940069,431.7312284050222,66510.80629799604,1.002297174118986
2019-10-31,13,6,0,27164.72589020837,88641.36602709151,4316.575386933894,849814.8361437119,1.002297174118986
2019-10-31,14,1,0,1552.8696042125007,5186.292500888622,274.52771715127346,46865.89169926626,1.002297174118986
2019-10-31,14,2,0,153193.99523367998,497282.65677912347,24001.12456216462,4927198.399327756,1.002297174118986
2019-10-31,14,6,0,831582.99523368,2698842.30467446,115509.95674251628,28164451.942042228,1.002297174118986
2019-10-31,15,1,0,1464.723308260145,4867.25488623944,259.9875400473861,43874.41615488664,1.002297174118986
2019-10-31,15,2,0,45377.195233679995,147427.88779495656,6789.72002282074,1358093.3628628252,1.002297174118986
2019-10-31,15,6,0,93216.99523367999,312560.20711888716,14623.552587904383,3151788.677659433,1.002297174118986
2019-10-31,16,1,0,2232.050647025446,7401.206380402701,425.9271258035554,59895.56287664472,1.002297174118986
2019-10-31,17,1,0,1060.3403035942824,3578.701331977119,198.4540649321896,33954.6267752207,1.002297174118986
2019-10-31,17,2,0,1169.6098570945385,3919.562581621478,235.58928250092603,35387.716260382265,1.002297174118986
2019-10-31,17,6,0,1987.1987594775637,6665.593236215099,360.4549425699805,61743.967257426826,1.002297174118986
2019-10-31,18,1,0,1060.216398877528,3567.777447006752,205.52277935102273,31953.171517369094,1.002297174118986
2019-10-31,18,2,0,1128.9462724649675,3838.402308991761,214.97868457641874,36887.350112688044,1.002297174118986
2019-10-31,18,6,0,8641.033124573556,28343.770108915254,1443.1283399350743,260672.9715137817,1.002297174118986
2019-10-31,19,1,0,136.4671654142864,445.9125950713716,41.28172252831203,2927.355015360528,1.002297174118986
2019-10-31,19,2,0,305.2120886208559,1035.9922581908017,77.15309887506922,8497.032491084394,1.002297174118986
2019-10-31,19,6,0,402.42457016262586,1380.6363772787922,97.01011385607185,10657.725295028344,1.002297174118986
2019-10-31,20,1,0,236.1309646014294,796.5713199534375,62.408628634821824,6183.726851398284,1.002297174118986
2019-10-31,20,2,0,185.28258438246536,632.1216337583962,53.06211689891041,4505.768561549771,1.002297174118986
2019-10-31,20,6,0,1041.5002135928855,3567.644899574704,191.46949184436875,31150.40057377555,1.002297174118986
2019-10-31,21,1,0,1089.3416355465604,3694.480284123011,210.31144021315077,35030.693377243704,1.002297174118986
2019-10-31,22,1,0,2090.051659383474,6925.810341479381,369.099135903369,61382.84563513683,1.002297174118986
2019-10-31,22,2,0,16502.629354856872,54193.081871956034,2700.1551439999976,493575.49047755555,1.002297174118986
2019-10-31,22,6,0,56736.24486176112,187338.15047378288,8823.200044104882,1934675.582799824,1.002297174118986
