cutoff,subsystem,ftype,n_fail_cum,gamma,m3,m3_lo95,m3_hi95
2020-06-30,1,1,1,215.2147160377635,145.96957417014133,0.28896717132315575,208.59119398840474
2020-06-30,1,2,0,710.598277492638,9035.323885015747,1.2567870598860348e-16,195.0355974797451
2020-06-30,1,6,0,2358.262390807281,25077.316109062504,1.5749048459737394e-20,43.06949012526216
2020-06-30,2,1,1,156.3594571601211,195.3543972574468,1.7723574466316835e-05,194.64090953733324
2020-06-30,2,2,0,380.50306168408736,4729.225391882308,5.677957560548554e-13,392.78239341513193
2020-06-30,2,6,0,1099.899917765795,13243.450309000678,7.159743025174212e-19,157.9603473270247
2020-06-30,3,1,1,278.6843108542394,147.27598953510676,0.31318773358250523,221.185265615508
2020-06-30,3,2,3,342.0268016248167,68.20524965159673,4.7474888848385604e-11,93.21914920172462
2020-06-30,3,6,0,1977.252617129754,21645.32553944117,1.8901435593877515e-20,64.8802671646617
2020-06-30,4,1,1,320.50666508290254,204.09652575627638,4.690442422485723e-13,135.2140604496407
2020-06-30,4,2,0,1197.7612134436044,14234.647991085201,1.804460135850071e-19,123.37715458713262
2020-06-30,4,6,0,4465.723317230496,43113.54246167669,7.76431291995028e-21,32.41683789511992
2020-06-30,5,1,0,559.6769869070953,7211.578277160029,2.8839634956971517e-15,215.68393995391216
2020-06-30,5,2,2,123.20197774044884,79.42371680359628,1.47922817353012,119.80906022804035
2020-06-30,5,6,0,772.5908535989772,9743.822553854438,3.8638482891125846e-17,143.6186269209496
2020-06-30,6,1,2,223.52862271981675,102.65255860126663,4.577694325554607e-11,127.13858160728219
2020-06-30,7,1,1,536.1833327304986,205.16471245693614,7.830223718795756e-14,166.1405918466265
2020-06-30,7,2,1,246.6842182762777,203.70571610528077,2.2896654270237024e-11,153.93676531560203
2020-06-30,7,6,0,2782.822769116107,28815.00631122691,1.2797888431453957e-20,42.96077578753659
2020-06-30,8,1,0,613.3526331829048,7879.326467700618,8.042974670823607e-16,193.28021767212
2020-06-30,8,2,0,389.4487170640519,4867.094858022255,5.781362838215002e-13,395.0066093526628
