cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m3,m3_lo95,m3_hi95,max_rhat
2020-04-30,15,1,4,310.1395121889839,73.86845423228664,23.8220876178981,250.45093173833197,37.34587905160249,7.00826694678939e-10,53.71562512932461,1.0051138607102688
2020-04-30,15,2,2,15154.389828788255,1319.2286636891222,155.69889301818043,12583.611236553288,74.31237411773837,3.7399136029594584e-13,65.92318828401312,1.0051138607102688
2020-04-30,15,6,1,46651.48474318239,10444.874739682615,831.0892870934558,128248.26257911981,151.96648780274526,2.516727346047767e-14,235.68900563765183,1.0051138607102688
2020-04-30,16,1,0,2318.024899710221,1603.4227075920548,171.9104664414828,17238.59661747987,48772.05221155758,5.6696048829874224e-21,35.261316501584226,1.0051138607102688
2020-04-30,17,1,0,1146.3145562790571,915.2695367598742,114.43190365902386,8113.570096739437,25918.306804961398,9.484768459854602e-21,50.43858910612649,1.0051138607102688
2020-04-30,17,2,0,1255.584109779313,967.2237336481662,125.22542281296268,8961.41772811696,28118.023830853996,8.687656305258803e-21,23.669960039736996,1.0051138607102688
2020-04-30,17,6,0,2073.173012162338,1486.0343183215537,180.27256248888767,12524.058633542254,44089.152169716705,5.684058440712817e-21,28.78712239095936,1.0051138607102688
2020-04-30,18,1,0,1146.1906515623027,890.909099525365,112.96777388579612,7231.582354915681,25915.798894440715,9.353021134722002e-21,35.649953993253746,1.0051138607102688
2020-04-30,18,2,1,607.460262574871,344.2121430257437,65.23281483667331,2228.103818101107,148.0612331925419,2.9325370953902285e-11,116.34582007302605,1.0051138607102688
2020-04-30,18,6,0,8727.00737725833,5270.363162623327,466.87712719170986,58159.158339638816,167844.19202851751,3.5570207702336294e-21,34.25687611417358,1.0051138607102688
2020-04-30,19,1,0,222.44141809906097,217.30470179454883,45.94930200194859,1241.6882189608973,4471.722651250166,8.151312238940257e-14,234.9694861067257,1.0051138607102688
