cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m3,m3_lo95,m3_hi95,max_rhat
2021-04-30,27,1,0,685.5555956399884,543.2752735183057,147.49931953946646,2718.0076925070666,29647.396039543408,0.08295338728734293,19247137262.582954,1.0054030185154779
2021-04-30,27,2,0,594.4346921627217,447.4626343026884,133.0386027950028,2006.594767373037,30202.126142055728,0.06394414672194508,11834885520.651009,1.0054030185154779
2021-04-30,27,6,0,1480.8389304528403,1038.181855594629,216.7987862536175,6909.231704194868,38656.47969821863,0.019605583484579157,100467658091.32257,1.0054030185154779
2021-04-30,28,1,0,34366.10951949237,11291.094652216621,1168.3908264036663,117040.19472160586,333517.6736484101,0.0007097750913748201,130421106225473.56,1.0054030185154779
2021-04-30,29,1,0,849.9046283416258,667.5994198728966,172.4634885362524,3741.4399706738714,31013.417218658768,0.04130946218730572,20958502840.960526,1.0054030185154779
2021-04-30,29,2,1,674.6154010762342,511.6695346918242,144.5770584290974,2477.165685473326,19909740.20083662,9.257170833101242,56627318485730.26,1.0054030185154779
2021-04-30,29,6,1,1993.6424979951153,879.432215620034,192.77244262966,5558.84239865639,8088.724430487596,79.48820719865542,780647.6700376866,1.0054030185154779
2021-05-31,1,1,3,180.8632527791946,181.20241682284032,73.06498837626337,536.3606967366104,687.7806850535817,55.70913847774067,8676.063254511522,1.0018550348795827
2021-05-31,1,2,0,1003.6218565338894,776.8574491322153,185.25414187112582,4942.2972957947395,32654.981288169114,0.042550707256112444,41613598451.0709,1.0018550348795827
2021-05-31,1,6,0,2651.285969848532,1554.1236184065722,281.6592021961424,12992.796030032507,51055.74048218523,0.011361116746577454,183573375927.69287,1.0018550348795827
2021-05-31,2,1,5,100.9570822269156,108.82598307128116,51.64915692742629,263.4722002532335,543.7117445981456,61.50097823184824,5056.671921946467,1.0018550348795827
2021-05-31,2,2,1,336.7633203626694,330.9902273989015,107.31958873839558,1350.4556178606983,7715.082173840249,78.6928006855636,719906.743711634,1.0018550348795827
2021-05-31,2,6,0,1392.9234968070464,974.4062516367883,215.36436410881257,6375.793273990887,37226.233368252855,0.02746116428564276,70887317163.33018,1.0018550348795827
2021-05-31,3,1,1,425.19610037486507,396.47700797268,122.0021435422111,1799.3252902100082,53522.18974089412,405.44500461740563,6961037.708846869,1.0018550348795827
2021-05-31,3,2,5,276.85513092341967,143.60753793932565,62.272766206008015,383.42164128613297,199.05480120296113,68.99909433662575,589.7496159912552,1.0018550348795827
2021-05-31,3,6,0,2270.2761961710053,1386.9252584340268,264.2683238340452,10357.656685684597,47036.98559898981,0.01529191047698529,271876115433.13748,1.0018550348795827
2021-05-31,4,1,1,467.0184546035282,420.5057092202017,125.80090452210959,1903.5335743675996,4374473.483294395,36.09864003912024,913407149061.9785,1.0018550348795827
2021-05-31,4,2,1,745.3923962424279,533.4091689775245,147.61218148435222,2591.4621319489193,2496.249747542445,124.89207502041548,50545.88741759188,1.0018550348795827
2021-05-31,4,6,0,4758.746896271748,2371.761534431133,359.02151263715217,20301.97884328296,71740.40472697037,0.005530836909059876,1209752166104.5713,1.0018550348795827
2021-05-31,5,1,2,284.2335219827822,265.2547836853909,91.64405965081536,935.925907731489,1781.030100610364,121.07575178717127,25582.85864057615,1.0018550348795827
2021-05-31,5,2,3,165.65737806564948,172.8557826399656,71.21280973428135,506.6033723023083,443.29208426552225,79.89687179037247,2457.362512865924,1.0018550348795827
2021-05-31,5,6,0,1065.6144326402286,808.8274826830602,185.5601589019538,4588.532700767782,33374.98525966933,0.022381964747252424,35535251876.47803,1.0018550348795827
2021-05-31,6,1,4,192.72188944014033,157.02331383670324,67.36349145975277,428.43200607314856,4886.535117507709,100.60127586967937,281430.5414638738,1.0018550348795827
2021-05-31,7,1,1,682.6951222511243,515.4883407241153,146.42630063586213,2477.659812337795,402525.77678033203,92.04559969692372,1853593510.3996627,1.0018550348795827
2021-05-31,7,2,1,393.1960077969034,370.05648928477774,119.33817620926895,1507.8544874629288,142694.93265260672,42.78911580479917,530354664.8725,1.0018550348795827
