cell,subsystem,ftype,n_failures,n_failures_all,theta0,mtbf_map,mtbf_mean,mtbf_median,mtbf_lo95,mtbf_lo50,mtbf_hi50,mtbf_hi95,max_rhat
s5t6,5,6,0,0,570.613063654814,1779.9078223498268,12888.687411437748,7546.018441009239,1227.5867802630237,3896.2918492235017,14831.652366982558,56541.0613112946,1.0013367791603158
s6t1,6,1,5,5,468.60807821528704,347.3986218826555,1050.4209336538495,765.0326521936713,207.2343791501517,472.50980800436906,1282.941600917518,3552.7629605512743,1.001807538444828
s6t2,6,2,3,3,,110417132.04047203,272547901.23457146,122501204.47903576,11244584.002018828,51617031.32319166,293537624.9825853,1454504670.5757241,1.0015968084337592
s6t6,6,6,0,0,,178108240.80045664,500338131.1861188,223812081.20845377,18594868.364757936,94035536.83417937,517912800.59527516,2483638101.832851,1.0012584374823557
s7t1,7,1,1,1,870.3888755168339,1964.799654188888,9411.044582629096,5684.787512068323,1013.2429936205832,3044.570632202925,10877.864308870343,40624.85757451516,1.0014017308603391
s7t2,7,2,2,2,291.3906466083922,830.845599072105,3453.08144605925,2267.3027635457483,462.2653442415353,1252.0082798125047,4051.1206473136763,13676.215154473954,1.001312933118764
s7t6,7,6,1,1,2580.8449791719436,6165.734348335958,24671.755073710105,13517.464418439245,2021.4647579661214,6779.133005763944,28906.26245154436,117286.47180903722,1.0020853452072698
s8t1,8,1,3,3,411.37484323874156,739.2784488117006,2793.588976130296,1861.0504659001003,410.3881736517331,1088.554697893111,3338.353883278147,10670.807436357085,1.001351154410504
s8t2,8,2,0,0,187.47092711988867,951.7947241240604,6573.640234724948,4120.523164066607,784.3659770159867,2238.2550231878927,7705.216668453071,27060.413624581084,1.001429095783228
s8t6,8,6,1,1,1816.3493923806625,4180.319496737973,19604.058925094636,10671.210209657322,1681.5544074364263,5530.24958436668,22406.929402031907,89196.02642500454,1.0008824182391431
s9t1,9,1,21,21,833.5293307344901,39.861163496390944,57.06144979939909,53.30556601176345,31.07754375236883,43.6927270317094,66.34281266874748,105.84497734771944,1.003693225396136
s9t2,9,2,5,5,799.6268361659476,450.17548419302267,1364.7006863499732,944.9813321182639,240.08850844198253,586.5808724109696,1638.8301729322006,4914.20059561565,1.0005776414852234
s9t6,9,6,3,3,4845.964942113814,3868.2156785967923,13086.138874160059,7506.925708200286,1146.4622180232705,3781.2929745436304,15139.032397192805,58279.68657543119,1.0010548725251232
s10t1,10,1,5,5,20238.5,1712.6479243935353,6197.924016396377,3982.2375891465354,743.0555864315177,2171.1694283113616,7399.139626940977,25551.334224029524,1.0014280029117957
s10t2,10,2,11,11,18954.3,425.5893006582913,965.0264847275049,711.0357653627682,187.78092936092096,445.88055422058983,1170.0756958570873,3210.061337157247,1.0010410284146525
s10t6,10,6,15,15,256032.2,406.8377436907488,901.9165989993145,693.887936612311,200.0960068745547,448.78588811823636,1102.2519847632816,2837.8051533586768,1.0026169877494364
s11t1,11,1,6,6,729.7122284790962,712.9861516641988,1989.6877305791436,1336.4482148955565,295.85520528384086,780.0589147938826,2365.0627869045866,7476.276085405917,1.0011991554363333
s11t2,11,2,3,3,903.9088571901141,5135.43689458056,17939.048278085098,10432.560240128489,1582.5381043238285,5403.569087775906,20421.27956685747,79314.00293774,1.0015389296243329
s11t6,11,6,2,2,5647.208536970977,5811.0057991943,21634.96769105189,12620.97006832796,2039.1253606250366,6565.180043791126,24897.21088930644,95264.61329337105,1.0012240649168116
s12t1,12,1,6,6,728.0385487184956,397.3355540109874,1139.0812773512278,811.6325873365072,223.44453226990038,504.3093079776061,1371.6909032802012,4006.025214367619,1.0011849683156815
s12t2,12,2,1,1,251.6266979001648,1367.463691368983,5725.224187960716,3567.078575710286,670.6259181428195,1956.140488094225,6590.048499382775,24633.008569549365,1.001243231201636
